area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
65,3,13,15,1978,51.75756,19.4616,2.7,49,0.089,0.205,0.312,0.37,0.165,0.84,0.236,1,1,1,1,0,429000,2023,8
52.63,2,2,3,1959,51.7449,19.4517,4.08,8,0.426,1.482,0.772,0.733,0.21,0.42,0.731,1,1,1,1,0,370000,2023,8
53,3,,4,1966,51.7459,19.3924,5.84,30,0.261,0.313,0.223,0.065,0.243,4.186,0.175,1,1,1,1,0,449000,2023,8
60.01,3,3,3,2022,51.7109,19.495,8.33,2,0.384,0.967,0.816,0.524,0.683,2.804,0.203,1,1,1,1,0,759000,2023,8
83.4,3,2,3,2021,51.7033,19.4616,8.71,0,1.071,2.22,2.04,0.848,1.639,2.995,1.3,1,1,1,1,0,749000,2023,8
55.58,3,5,10,1968,51.7742,19.4288,1.96,13,0.412,0.847,0.379,0.338,0.279,1.471,0.127,1,1,1,1,0,390000,2023,8
42.98,2,2,5,2020,51.7521056,19.47078259,3.45,8,0.403,0.452,0.843,0.377,0.394,1,0.106,1,1,1,1,0,451290,2023,8
35.75,2,4,4,1976,51.7581,19.5331,5.99,33,0.228,0.116,0.312,0.153,0.187,1.828,0.119,1,1,1,1,0,250000,2023,8
66.88,4,,7,2016,51.7226,19.4998,7.25,2,0.654,0.999,0.881,0.262,0.592,2.32,0.422,1,1,1,1,0,625000,2023,8
104.12,3,1,3,1915,51.7678,19.4601,1.57,65,0.49,0.375,0.179,0.35,0.146,0.631,0.267,1,1,1,1,0,720000,2023,8
63.38,3,2,11,1976,51.7599,19.5343,5.98,27,0.437,0.326,0.429,0.359,0.239,1.714,0.183,1,1,1,1,0,490000,2023,8
63.4,3,10,10,2018,51.7785885,19.4855869,2.14,14,0.34,1.073,0.428,0.385,0.167,0.635,0.297,1,1,1,1,0,608640,2023,8
48.86,2,9,11,1984,51.7447021,19.4016252,5.49,27,0.313,0.375,0.29,0.083,0.124,3.566,0.104,1,1,1,1,0,295000,2023,8
51.5,2,1,4,1975,51.749,19.4849,4.17,8,0.318,0.33,0.59,0.234,0.315,1.886,0.123,1,1,0,1,0,430000,2023,8
36.25,2,3,10,1970,51.7375,19.484,5.29,16,0.241,0.804,0.335,0.373,0.259,1.374,0.298,1,1,1,1,0,319000,2023,8
44.83,2,,4,1975,51.7968,19.3785,5.51,22,0.242,3.708,0.161,0.174,0.189,1.437,0.163,1,1,0,1,0,370000,2023,8
85,4,3,3,1920,51.7641,19.4664,2.09,16,0.205,0.723,0.26,0.307,0.271,0.061,0.525,1,1,1,1,0,430000,2023,8
136.34,4,2,4,1936,51.7739,19.4683,1.26,26,0.175,0.235,0.4,0.241,0.182,0.255,0.289,1,1,1,1,0,720000,2023,8
56,3,4,4,1960,51.73,19.4907,6.24,14,0.17,1.145,0.262,0.063,0.367,1.546,0.265,1,1,1,1,1,350000,2023,8
36.55,2,1,4,1969,51.7344,19.4897,5.76,23,0.109,1.155,0.229,0.23,0.355,1.559,0.251,1,1,1,1,0,329000,2023,8
36,2,3,4,1960,51.7321003,19.4488937,5.51,16,0.088,1.692,0.328,0.113,0.147,0.275,0.044,1,1,0,1,0,237000,2023,8
96.4,4,2,4,1958,51.7694,19.4841,2.43,6,0.373,0.59,1.082,0.201,0.533,0.596,0.43,1,1,1,1,0,899000,2023,8
43,2,2,4,1971,51.75091,19.42444,3.99,16,0.113,0.073,0.107,0.085,0.459,1.986,0.096,1,1,1,1,1,385000,2023,8
50.87,2,3,4,1910,51.77229,19.45549,1.03,50,0.229,0.325,0.216,0.109,0.057,1.095,0.033,1,1,1,1,0,350000,2023,8
